Month of Month,Measure Names,Measure Values
Jan-20,Avg. Financial Activities (Openings/Hires Ratio),1.949541284
Feb-20,Avg. Financial Activities (Openings/Hires Ratio),1.723140496
Mar-20,Avg. Financial Activities (Openings/Hires Ratio),1.502164502
Apr-20,Avg. Financial Activities (Openings/Hires Ratio),1.698113208
May-20,Avg. Financial Activities (Openings/Hires Ratio),1.5
Jun-20,Avg. Financial Activities (Openings/Hires Ratio),1.703517588
Jul-20,Avg. Financial Activities (Openings/Hires Ratio),1.207692308
Aug-20,Avg. Financial Activities (Openings/Hires Ratio),1.281385281
Sep-20,Avg. Financial Activities (Openings/Hires Ratio),1.253012048
Oct-20,Avg. Financial Activities (Openings/Hires Ratio),1.297959184
Nov-20,Avg. Financial Activities (Openings/Hires Ratio),1.338095238
Dec-20,Avg. Financial Activities (Openings/Hires Ratio),1.439613527
Jan-21,Avg. Financial Activities (Openings/Hires Ratio),1.346341463
Feb-21,Avg. Financial Activities (Openings/Hires Ratio),1.557788945
Mar-21,Avg. Financial Activities (Openings/Hires Ratio),1.634146341
Apr-21,Avg. Financial Activities (Openings/Hires Ratio),1.990697674
May-21,Avg. Financial Activities (Openings/Hires Ratio),1.922330097
Jun-21,Avg. Financial Activities (Openings/Hires Ratio),1.715686275
Jul-21,Avg. Financial Activities (Openings/Hires Ratio),2.186234818
Aug-21,Avg. Financial Activities (Openings/Hires Ratio),2.262135922
Sep-21,Avg. Financial Activities (Openings/Hires Ratio),1.510344828
Oct-21,Avg. Financial Activities (Openings/Hires Ratio),2.041284404
Nov-21,Avg. Financial Activities (Openings/Hires Ratio),2.111587983
Dec-21,Avg. Financial Activities (Openings/Hires Ratio),2.052401747
